company_name,work_hours,job_titles,skills
Wilson-Thompson,12:29 - 16:31,"['Programmer, applications', 'Therapist, nutritional', 'Electrical engineer', 'Commissioning editor', 'Sports coach', 'Clinical biochemist', 'Planning and development surveyor', 'Patent examiner', 'Designer, interior/spatial', 'Surgeon']","[['event', 'benefit', 'represent', 'whose'], ['ready'], ['reduce'], ['eye', 'after', 'especially', 'go'], ['crime', 'either', 'bill', 'traditional', 'democratic'], ['those', 'front', 'pretty', 'say'], ['company', 'behavior', 'high', 'human', 'laugh'], ['method'], ['necessary', 'artist'], ['set', 'opportunity', 'bring']]"
Ortega and Sons,11:05 - 04:28,"['Exercise physiologist', 'Radiographer, diagnostic', 'Paediatric nurse', 'Architectural technologist', 'Airline pilot', 'Scientist, water quality', 'Architectural technologist', 'Publishing rights manager']","[['take', 'war', 'discover', 'interview', 'television'], ['one', 'ground', 'popular', 'few', 'authority'], ['feel', 'clear', 'ever', 'office', 'attorney'], ['not'], ['sit', 'thus', 'nor', 'already', 'see'], ['investment', 'have', 'table', 'evening'], ['fund', 'once'], ['all', 'land']]"
Robles-Williams,04:03 - 21:28,"['Geographical information systems officer', 'Engineering geologist', 'Health and safety adviser', 'Ranger/warden', 'Education officer, museum', 'Geologist, engineering', 'Regulatory affairs officer', 'Nurse, mental health', 'Seismic interpreter']","[['federal'], ['treat', 'seem'], ['have', 'big', 'policy'], ['figure'], ['way', 'traditional', 'behavior'], ['clear', 'sense', 'watch'], ['child', 'final', 'firm', 'woman'], ['wonder'], ['together', 'office', 'campaign', 'above']]"
Gonzalez-Braun,16:35 - 05:57,"['Arboriculturist', 'Product designer', 'Oceanographer', 'Engineer, automotive', 'Meteorologist']","[['generation', 'race', 'try', 'language'], ['different', 'score', 'letter'], ['adult', 'toward', 'produce', 'car', 'hit'], ['under', 'read'], ['yourself', 'by', 'church', 'action', 'office']]"
Horn-Leonard,20:43 - 06:49,"['Engineer, mining', 'Community pharmacist', 'Trade mark attorney', 'Hospital doctor', 'Hydrogeologist', 'Lecturer, further education', 'Environmental health practitioner']","[['number'], ['employee', 'blood', 'need', 'second', 'everybody'], ['leg', 'practice'], ['plant', 'drop', 'time', 'attack', 'financial'], ['try'], ['black', 'one', 'serve', 'near', 'though'], ['let']]"
Mooney LLC,23:36 - 17:24,"['Logistics and distribution manager', 'Architect', 'Microbiologist']","[['public'], ['vote', 'instead'], ['southern', 'fund', 'lose', 'certainly']]"
Myers-Maldonado,17:19 - 08:09,"['IT consultant', 'Hotel manager', 'Scientist, biomedical', 'Barrister', 'Music tutor', 'Engineer, electrical']","[['level', 'president', 'exactly'], ['should', 'or', 'world'], ['threat'], ['hospital', 'baby', 'step', 'guy', 'population'], ['spring', 'image'], ['trial', 'money']]"
"Willis, Bell and Garrett",03:35 - 01:39,"['Mudlogger', 'Sub', 'Therapist, music', 'Psychologist, counselling', 'Production manager', 'Music therapist', 'Investment banker, corporate']","[['third', 'rule', 'when', 'enjoy'], ['computer', 'large'], ['authority', 'mind', 'perform', 'of'], ['rule', 'seven', 'will', 'lawyer'], ['possible', 'as', 'pass', 'clear', 'power'], ['reveal', 'thousand', 'station'], ['coach', 'shake', 'cover', 'new', 'military']]"
Montes Group,12:02 - 10:53,"['Arts development officer', 'Engineer, drilling', 'English as a foreign language teacher', 'Fast food restaurant manager', 'Applications developer', 'Horticultural consultant', 'Computer games developer', 'Engineer, chemical']","[['million'], ['note', 'garden', 'picture', 'like'], ['short', 'father'], ['central', 'religious', 'dark', 'born', 'visit'], ['college', 'fall'], ['next', 'whether', 'worker', 'south', 'top'], ['animal', 'yourself', 'could', 'trip'], ['office', 'worker', 'research', 'final', 'significant']]"
Miller PLC,03:13 - 10:01,"['Geochemist', 'Production engineer', ""Politician's assistant"", 'Insurance risk surveyor', 'Psychologist, counselling', 'Astronomer', 'Company secretary', 'Architectural technologist', 'Games developer']","[['prevent'], ['paper', 'military', 'TV'], ['share', 'society', 'exist'], ['image', 'while'], ['player', 'six', 'wait', 'increase'], ['according', 'not', 'race', 'stuff'], ['partner', 'cup'], ['rest', 'watch'], ['gun', 'past', 'week', 'necessary']]"
Peterson-Leon,01:21 - 19:33,"['Copywriter, advertising', 'Colour technologist', 'Tree surgeon', 'Therapist, art', 'Insurance underwriter']","[['know', 'before'], ['college', 'team', 'popular', 'establish', 'such'], ['story'], ['fall', 'real'], ['to', 'trade', 'money', 'order', 'central']]"
King-Jensen,17:02 - 13:09,"['Software engineer', 'Surveyor, hydrographic', 'Chemist, analytical', 'Diplomatic Services operational officer', 'Regulatory affairs officer', 'Community development worker', 'Archaeologist', 'Commercial/residential surveyor']","[['today', 'available', 'staff', 'situation', 'article'], ['take', 'occur', 'short', 'bar'], ['above', 'as', 'Republican', 'material', 'receive'], ['matter', 'bring', 'success', 'may'], ['night', 'better', 'hope', 'inside'], ['north', 'relationship', 'add'], ['small', 'agency', 'rest', 'kind', 'voice'], ['race', 'amount', 'may']]"
"Bass, Hopkins and Matthews",09:59 - 21:02,"['Forensic scientist', 'Horticultural therapist', 'Network engineer', 'Trading standards officer', 'Financial planner', 'Museum/gallery conservator']","[['collection', 'certain', 'fund', 'each', 'opportunity'], ['new'], ['again', 'value'], ['at', 'read', 'apply', 'in', 'expert'], ['apply', 'open', 'most', 'back', 'coach'], ['treatment', 'science', 'how']]"
Henry-Ward,00:43 - 00:52,"['Teacher, English as a foreign language', 'Geochemist', 'Energy engineer']","[['mission'], ['television'], ['public', 'follow', 'doctor', 'figure']]"
Grimes-Price,12:58 - 05:02,"['Technical sales engineer', 'Fitness centre manager', 'Intelligence analyst', 'Tax adviser', 'Engineer, land']","[['business', 'suffer', 'around', 'very'], ['address'], ['media'], ['budget', 'song'], ['various', 'strong', 'build', 'station']]"
Rasmussen Group,19:54 - 15:02,"['Cabin crew', 'Clinical molecular geneticist', 'Television/film/video producer', 'Firefighter']","[['throw', 'technology'], ['health', 'national', 'finish', 'professional'], ['culture', 'shoulder', 'feel', 'situation'], ['so', 'manage', 'nice', 'goal', 'anyone']]"
Lynn Inc,09:12 - 11:06,"['Information systems manager', 'Teacher, primary school', 'Librarian, academic', 'Astronomer', 'Horticulturist, commercial', 'Pathologist', 'Holiday representative', 'Field trials officer', 'Secretary, company', 'Insurance account manager']","[['difficult', 'save', 'along', 'church'], ['follow', 'impact', 'say', 'inside', 'least'], ['store', 'along', 'option', 'decade', 'project'], ['war'], ['toward', 'chance', 'kitchen', 'leg', 'drive'], ['form', 'dark', 'stock'], ['employee', 'pick', 'itself'], ['watch', 'large'], ['explain', 'organization'], ['during', 'after', 'us', 'likely']]"
"Bell, Higgins and Gordon",21:14 - 12:33,"['Higher education lecturer', 'Forensic psychologist', 'Software engineer', 'Television/film/video producer', 'Careers information officer', 'Surveyor, commercial/residential', 'Theatre manager', 'Personal assistant']","[['Democrat', 'moment', 'cost', 'city'], ['letter', 'move', 'sometimes', 'director', 'current'], ['case'], ['garden', 'learn', 'arm'], ['fact', 'truth', 'position'], ['myself'], ['meet', 'responsibility', 'money'], ['order']]"
Jimenez-Gomez,04:12 - 09:49,"['Engineer, materials', 'Radiographer, diagnostic', 'Teacher, primary school', 'Community development worker', 'Location manager']","[['trouble', 'degree'], ['describe', 'door', 'marriage', 'tree'], ['claim', 'although', 'sound', 'model', 'phone'], ['middle'], ['economy', 'affect', 'wind']]"
Barrett LLC,12:27 - 01:18,"['Lighting technician, broadcasting/film/video', 'Tourist information centre manager', 'Financial trader', 'Diplomatic Services operational officer', 'Designer, multimedia', 'Engineer, civil (contracting)', 'Chief Technology Officer', 'Education administrator', 'Copy', 'Chief of Staff']","[['act', 'rise', 'wind', 'those', 'answer'], ['policy', 'know', 'dinner', 'fight', 'show'], ['or', 'hope', 'chance'], ['hour', 'range'], ['nation', 'necessary', 'ability', 'near'], ['dog', 'he'], ['home'], ['day', 'wait', 'cover'], ['yourself', 'wide'], ['human', 'professional', 'some', 'across']]"
Johnson-Dominguez,04:47 - 02:05,"['Theatre director', 'Research scientist (physical sciences)', 'Chartered management accountant']","[['trade', 'appear', 'quickly', 'somebody'], ['prepare', 'research', 'at', 'everybody'], ['center', 'leader', 'team', 'account', 'detail']]"
Burch PLC,05:15 - 14:01,"['Office manager', 'Orthoptist', 'Pilot, airline', 'Engineer, petroleum', 'Archivist', 'Accountant, chartered management', 'Horticulturist, amenity', 'Biomedical scientist', 'Scientist, physiological', 'Pilot, airline']","[['movie', 'sure', 'will', 'cell', 'itself'], ['push', 'teacher', 'how', 'team'], ['physical', 'produce', 'able', 'agree'], ['ten'], ['think'], ['plant', 'sound', 'assume'], ['book', 'debate', 'inside'], ['your', 'nature', 'stage'], ['have', 'yet', 'reveal', 'both'], ['bill', 'grow', 'security']]"
Allen LLC,20:00 - 23:21,"['Advice worker', 'Pensions consultant', 'Risk analyst']","[['cut', 'condition'], ['writer', 'current'], ['record', 'close', 'push']]"
Clark-Washington,11:39 - 22:31,"[""Nurse, children's"", 'Multimedia programmer']","[['weight', 'professional', 'ball', 'operation', 'inside'], ['school', 'watch', 'reason', 'enter']]"
Spencer-Wilcox,01:51 - 09:00,"[""Politician's assistant"", 'Radiation protection practitioner', 'Administrator', 'Solicitor, Scotland', 'Commissioning editor', 'Pension scheme manager', 'Claims inspector/assessor', 'Multimedia programmer']","[['possible'], ['particular', 'any'], ['member', 'matter'], ['how', 'stock', 'boy', 'whole'], ['suddenly', 'two', 'see', 'research', 'compare'], ['list', 'left', 'perhaps', 'until'], ['capital', 'success', 'quite', 'issue', 'administration'], ['section', 'imagine', 'until', 'term', 'main']]"
Jones-Webb,07:08 - 10:49,"['Building services engineer', 'Comptroller', 'Engineer, civil (contracting)', 'Engineer, electronics', 'Computer games developer', 'Forest/woodland manager', 'Doctor, general practice', 'Operations geologist', 'Psychiatrist', 'Product/process development scientist']","[['agreement', 'television', 'wear', 'talk', 'system'], ['than', 'policy', 'buy'], ['weight', 'eat', 'hit'], ['quite', 'price', 'from'], ['leg', 'can', 'reflect'], ['light', 'how', 'me', 'big'], ['significant', 'road', 'also'], ['color'], ['see'], ['bit', 'everyone', 'think']]"
Williamson-White,13:37 - 04:40,"['Product manager', 'Clinical embryologist', 'Drilling engineer', 'Programmer, applications', 'Horticulturist, amenity', 'Loss adjuster, chartered']","[['would', 'price', 'hard'], ['position', 'rate'], ['capital', 'behavior'], ['improve', 'specific', 'tonight'], ['writer', 'agent'], ['notice', 'important', 'floor', 'cell', 'team']]"
Thompson-Mclaughlin,22:06 - 18:18,"['Neurosurgeon', 'Brewing technologist', 'Engineer, building services']","[['ok', 'together', 'live', 'rock', 'blood'], ['consider', 'item', 'model', 'owner'], ['may', 'daughter', 'structure', 'free', 'plant']]"
"Gilbert, Harrington and Greene",08:14 - 20:44,"['Civil Service administrator', 'Psychologist, counselling']","[['own', 'physical', 'remember', 'task', 'necessary'], ['officer', 'ten', 'church', 'southern', 'land']]"
Daniels Group,07:08 - 05:38,"['Surveyor, planning and development']","[['range', 'behavior', 'yeah']]"
"Lewis, Walker and Reilly",20:29 - 18:41,"['Lobbyist', 'Pharmacologist', 'Tree surgeon', 'Therapist, sports', 'Ecologist']","[['kind', 'player', 'buy', 'claim', 'investment'], ['control', 'get'], ['air', 'garden', 'you', 'manage'], ['win', 'design', 'list', 'special', 'water'], ['somebody', 'item', 'know']]"
"Thomas, Brady and Harper",12:18 - 08:41,"['Financial planner', 'Primary school teacher', 'Historic buildings inspector/conservation officer', 'Special effects artist', 'Media buyer', 'Electronics engineer', 'Doctor, general practice', 'Multimedia specialist', 'Fish farm manager']","[['more', 'officer', 'feeling'], ['reflect', 'concern', 'tonight'], ['once', 'field', 'citizen', 'them'], ['could', 'summer', 'send'], ['quality', 'manage'], ['mission', 'land', 'information', 'part'], ['husband', 'feeling'], ['close', 'order'], ['free', 'large', 'plan', 'hit', 'institution']]"
Cox Group,00:54 - 01:23,"['Environmental consultant', 'Hydrologist', 'Information systems manager', 'Software engineer', 'Retail buyer', 'Careers adviser', 'Chief Executive Officer']","[['manage', 'should', 'begin'], ['forget', 'might', 'down', 'physical'], ['daughter', 'way'], ['long', 'staff'], ['trade'], ['feel'], ['focus', 'see', 'huge', 'grow', 'program']]"
"Fitzgerald, Andrews and Lopez",23:43 - 08:33,"['Teacher, English as a foreign language', 'Visual merchandiser']","[['century', 'allow', 'often'], ['discussion', 'cup', 'service']]"
Sellers-Park,19:13 - 16:08,"['Banker', 'Chartered management accountant', 'Personnel officer', 'Sales promotion account executive']","[['although', 'contain', 'media', 'onto'], ['stop', 'different', 'so', 'test'], ['main', 'gun', 'year', 'stuff'], ['yet']]"
Lopez-Pham,21:37 - 23:03,"['Environmental consultant', 'Horticultural therapist', 'Private music teacher', 'Arts administrator', 'Public house manager', 'Training and development officer', 'Site engineer', 'Therapist, music', 'Leisure centre manager']","[['likely'], ['allow', 'no', 'onto', 'family'], ['letter'], ['talk', 'campaign', 'activity', 'during', 'worker'], ['about'], ['research', 'their'], ['story'], ['country', 'risk'], ['stuff', 'mean']]"
Townsend LLC,14:37 - 11:40,"['Music therapist', 'Astronomer', 'Newspaper journalist', 'Adult guidance worker', 'Purchasing manager', 'IT consultant', 'Physiological scientist']","[['history', 'out', 'idea'], ['them', 'will'], ['onto', 'authority', 'that', 'public'], ['pattern', 'red', 'discover'], ['body', 'must', 'agency', 'side'], ['ability', 'kitchen', 'concern', 'outside'], ['respond', 'region', 'teach', 'unit', 'general']]"
Garcia PLC,21:07 - 07:59,"['Economist', 'Careers adviser', 'Analytical chemist']","[['form', 'certainly'], ['agency'], ['sound', 'human', 'bad', 'security', 'campaign']]"
Farmer LLC,01:40 - 15:22,"['Research officer, government', 'Travel agency manager', 'Recycling officer']","[['more', 'carry', 'both', 'right', 'tonight'], ['pay', 'board', 'full', 'air', 'computer'], ['collection', 'property']]"
"Knight, Hampton and Howell",16:30 - 02:28,"['Commercial horticulturist', 'Stage manager']","[['line'], ['who', 'serve', 'language']]"
Chen Group,23:32 - 18:30,"['Quality manager', 'Set designer', 'Theme park manager', 'Futures trader', 'Designer, textile', 'Trading standards officer', 'Orthoptist', 'Engineer, technical sales', 'Surveyor, planning and development', 'Quarry manager']","[['billion'], ['hear', 'trip', 'until', 'sound', 'product'], ['change'], ['yes'], ['those', 'protect', 'base'], ['stop', 'generation', 'car'], ['claim'], ['line'], ['return'], ['training', 'agency', 'remember', 'bad', 'statement']]"
Ellison-Day,12:06 - 03:43,"['Scientific laboratory technician', 'Catering manager', 'IT trainer', 'Printmaker', 'Medical physicist', 'Designer, fashion/clothing', 'Corporate treasurer']","[['among', 'only'], ['how', 'unit', 'worry'], ['relate', 'few', 'west', 'become'], ['wind', 'blue'], ['newspaper', 'well', 'all', 'go'], ['even', 'hospital', 'building', 'authority'], ['big', 'their', 'agency']]"
Bush-Elliott,08:40 - 16:39,"['Best boy', 'Television production assistant', 'Pharmacist, community', 'Engineer, chemical', 'Therapist, nutritional', 'Osteopath', 'Civil engineer, consulting', 'Hydrographic surveyor', 'Clinical research associate', 'Designer, graphic']","[['much', 'protect'], ['life', 'pressure', 'rather'], ['seven', 'management', 'environment', 'those'], ['night', 'hospital'], ['late', 'audience', 'show', 'in'], ['sign', 'hour', 'few'], ['run', 'less'], ['home', 'action', 'reality', 'material'], ['during', 'fine', 'speech', 'help'], ['middle', 'week', 'state', 'music']]"
"Patterson, Vincent and Barajas",22:08 - 20:11,"['Press sub', 'Secretary, company', 'Economist', 'Clinical embryologist']","[['nearly', 'sister', 'realize'], ['wonder', 'trouble', 'clearly', 'information', 'shake'], ['thing', 'also', 'meet', 'protect', 'natural'], ['whatever', 'music', 'happy', 'team']]"
"Gonzalez, Rush and Morgan",05:09 - 21:57,"['Buyer, retail', 'Geneticist, molecular']","[['exist', 'safe'], ['specific', 'score', 'information', 'effect', 'minute']]"
"Crawford, Deleon and Newman",22:15 - 23:50,"['Catering manager', 'Psychotherapist', 'Lecturer, higher education', 'Newspaper journalist']","[['Congress', 'thing', 'art', 'mother'], ['design'], ['gun'], ['speech', 'deep']]"
"Dean, Mcclain and Hart",00:56 - 05:42,"['Hospital doctor', 'Teacher, special educational needs', 'Furniture designer', 'Diagnostic radiographer', 'Animator']","[['recognize', 'account', 'surface', 'wrong'], ['policy', 'student', 'anyone', 'box', 'similar'], ['control', 'offer', 'civil'], ['whatever', 'feel'], ['deep', 'office', 'four']]"
"Dudley, York and Howard",22:44 - 07:46,"['Photographer', 'Programmer, systems', 'Engineering geologist', 'Surveyor, planning and development', 'Scientist, product/process development', 'Purchasing manager', 'Diplomatic Services operational officer', 'Psychotherapist', 'Scientific laboratory technician', 'Engineer, manufacturing systems']","[['fast', 'month', 'mission'], ['answer', 'employee'], ['join', 'for', 'meet', 'reveal'], ['third', 'newspaper', 'staff', 'leave'], ['ball', 'red', 'easy', 'while'], ['community', 'seat', 'close'], ['lay', 'article', 'traditional', 'something'], ['together', 'middle', 'stage', 'several'], ['yet', 'sing', 'likely'], ['thousand', 'almost', 'himself', 'within', 'difference']]"
Curry LLC,09:50 - 20:52,"['Teacher, special educational needs', 'Local government officer', 'Health visitor', 'Therapist, music']","[['wall', 'condition', 'floor', 'arrive', 'spend'], ['share'], ['concern'], ['news']]"
Johnson-Holmes,21:44 - 15:24,"['Librarian, public']",[['whom']]
Brooks-Armstrong,02:33 - 10:01,"['Research officer, trade union', 'Engineer, automotive', 'Counselling psychologist', 'Video editor', 'Immunologist']","[['analysis'], ['pull', 'feel', 'throw'], ['thousand', 'month', 'always', 'between', 'prevent'], ['yes'], ['write']]"
"Powell, West and Bailey",09:19 - 12:42,['Bonds trader'],"[['test', 'and']]"
"Hernandez, Burgess and Blankenship",18:46 - 01:39,"['Community education officer', 'Economist', 'Geographical information systems officer', 'Advice worker']","[['exactly'], ['half', 'few', 'including'], ['television', 'interest', 'west'], ['important', 'customer', 'manage', 'though']]"
Curtis Inc,12:47 - 09:22,"['Engineer, civil (consulting)', 'Research officer, government']","[['against', 'play', 'unit'], ['first']]"
Joseph LLC,04:13 - 01:17,"['Therapist, sports', ""Nurse, children's""]","[['people'], ['mean', 'civil', 'form', 'course']]"
Vasquez PLC,13:23 - 21:54,"['Research scientist (medical)', 'Hospital pharmacist', 'Surveyor, hydrographic', 'Broadcast presenter', 'Petroleum engineer', 'Designer, jewellery']","[['employee'], ['check', 'everybody'], ['remember', 'difference', 'understand', 'week', 'purpose'], ['month', 'figure', 'join', 'decide', 'little'], ['under'], ['appear', 'throughout', 'only', 'read', 'though']]"
"Brown, Duarte and Trujillo",03:32 - 12:27,"['Engineer, structural', 'Office manager', 'Purchasing manager', 'Chartered loss adjuster']","[['bad', 'wrong', 'travel', 'member', 'chance'], ['past', 'special', 'my'], ['appear', 'policy'], ['near', 'blue', 'exactly']]"
Santana-Gomez,15:45 - 06:23,"['Analytical chemist', 'Radio broadcast assistant', 'Surveyor, land/geomatics', 'Games developer', 'Television/film/video producer', 'Editor, film/video', 'Doctor, hospital', 'Physiotherapist', 'Secondary school teacher']","[['glass', 'agree', 'nearly'], ['rich', 'among', 'nothing', 'music'], ['property'], ['generation', 'some', 'east', 'return', 'natural'], ['reason', 'seek'], ['could', 'keep'], ['must', 'left', 'politics'], ['religious'], ['up', 'successful', 'environmental', 'catch']]"
"Jordan, Nelson and Johnson",12:26 - 04:47,"['Teaching laboratory technician', 'Lawyer']","[['discussion', 'either'], ['but', 'often', 'item']]"
Rhodes-Campbell,11:07 - 14:00,"['Physicist, medical', 'Personnel officer', 'Fashion designer', 'Building services engineer', 'Metallurgist', 'Engineer, land', 'Therapist, nutritional', 'Dietitian']","[['organization'], ['continue', 'necessary', 'tonight', 'think'], ['travel', 'style', 'much'], ['seem', 'its', 'Congress', 'heart'], ['occur', 'power', 'same', 'get'], ['hit', 'service', 'some', 'above'], ['level'], ['song']]"
Daniels LLC,17:59 - 11:54,"['Passenger transport manager', 'Sub', 'Diagnostic radiographer', 'Osteopath', 'Lecturer, further education', 'Media planner', 'Geologist, engineering', 'Animal nutritionist', 'Retail banker', 'Phytotherapist']","[['finish', 'lose', 'billion', 'various', 'season'], ['assume', 'term', 'theory', 'much', 'person'], ['resource', 'investment'], ['add'], ['let', 'miss'], ['recognize'], ['meeting', 'TV', 'politics'], ['collection', 'form', 'care', 'thought', 'yourself'], ['ball', 'agreement', 'item'], ['state']]"
"Ramsey, Browning and Cowan",04:41 - 16:11,"['Engineer, control and instrumentation', 'Conservator, furniture', 'Copy']","[['knowledge', 'develop'], ['various', 'think', 'summer', 'yes', 'ball'], ['will', 'open', 'man', 'against', 'too']]"
"Robbins, Taylor and Ochoa",08:39 - 04:34,"['Customer service manager', 'Engineer, automotive', 'Engineering geologist', 'Accountant, chartered certified']","[['enjoy', 'last'], ['beyond', 'size', 'reason'], ['three', 'speak', 'soon'], ['us', 'while', 'believe']]"
"Gallegos, Rivera and Fuller",20:47 - 03:46,"['Community pharmacist', ""Politician's assistant"", 'Ecologist', 'Learning mentor', 'Outdoor activities/education manager', 'Quarry manager', 'Engineer, petroleum', 'Barista']","[['option'], ['perform'], ['current'], ['mouth'], ['hair', 'Republican', 'big', 'issue', 'marriage'], ['sell', 'defense', 'themselves', 'finally'], ['next', 'line', 'kind', 'life'], ['reduce', 'job', 'truth', 'my', 'challenge']]"
Bennett-Rowe,12:38 - 03:47,['Museum/gallery conservator'],"[['pressure', 'poor', 'six']]"
Brown-Jones,22:18 - 18:28,"['Site engineer', 'Geographical information systems officer', 'Geoscientist', 'Rural practice surveyor', 'Engineer, aeronautical', 'Designer, ceramics/pottery']","[['clearly'], ['your', 'trial', 'read', 'though'], ['behavior', 'interest', 'poor', 'drop', 'pay'], ['fact'], ['state', 'degree', 'store', 'check'], ['parent', 'realize', 'college']]"
Nelson-Bennett,11:07 - 06:38,"['Research officer, trade union', 'Community arts worker', 'Sport and exercise psychologist', 'Environmental consultant', 'Pension scheme manager', 'Administrator, arts']","[['sport', 'book'], ['side'], ['small', 'book', 'five'], ['young', 'market', 'reality'], ['must', 'career'], ['discover', 'suddenly', 'against']]"
"Wilson, Cole and Jordan",12:16 - 09:37,"['Commissioning editor', 'Media planner', 'Engineer, structural', 'Control and instrumentation engineer', 'Surveyor, land/geomatics', 'Aid worker', 'Ecologist']","[['affect', 'skill', 'expect', 'hard'], ['record', 'pattern', 'itself', 'require', 'blue'], ['region', 'feel', 'explain', 'guess'], ['us', 'public', 'order'], ['customer', 'according', 'here', 'expect'], ['rest', 'country', 'fly'], ['draw']]"
Berry PLC,07:24 - 03:30,"['Immunologist', 'Administrator, Civil Service', 'Industrial buyer', 'Agricultural engineer', 'Advertising copywriter', 'Nutritional therapist', 'Research officer, trade union', ""Nurse, children's"", 'Doctor, general practice']","[['themselves'], ['upon', 'become', 'professor'], ['nor'], ['account'], ['my', 'better', 'three', 'never', 'win'], ['west'], ['site', 'need', 'parent', 'loss'], ['form', 'star', 'rather', 'kind', 'dinner'], ['good', 'society', 'age']]"
Garcia LLC,19:45 - 20:33,"['Therapist, drama', 'Trade mark attorney', 'Manufacturing engineer', 'Production manager', 'Theatre stage manager']","[['situation', 'career', 'race', 'line', 'half'], ['wall'], ['now'], ['plant'], ['close', 'special', 'shoulder', 'note', 'reason']]"
Campbell Inc,09:21 - 18:29,"['Interior and spatial designer', 'Photographer', 'Presenter, broadcasting', 'Designer, fashion/clothing', 'Primary school teacher']","[['for', 'baby', 'draw', 'reason'], ['wide', 'including', 'her', 'bad', 'again'], ['situation', 'young'], ['friend'], ['choice', 'control', 'sit', 'model', 'tree']]"
Morris-Ford,12:35 - 09:12,"['Structural engineer', 'Homeopath', 'Geneticist, molecular', 'Engineer, biomedical', 'Actuary', 'Magazine features editor']","[['prove', 'attorney', 'dinner', 'next', 'anyone'], ['gun'], ['son', 'parent', 'hope', 'create', 'effect'], ['morning', 'huge'], ['miss', 'campaign', 'official', 'difference'], ['its']]"
Taylor-Hayden,21:28 - 00:36,"['Broadcast journalist', 'Print production planner', 'Engineer, manufacturing']","[['state'], ['director', 'hold', 'four', 'raise'], ['catch']]"
"Herring, Bray and Quinn",11:40 - 10:56,"['Tourist information centre manager', 'Designer, multimedia']","[['manage', 'especially', 'at', 'statement'], ['understand', 'politics', 'chance', 'issue']]"
"Dorsey, Bentley and Smith",12:32 - 16:18,"['Television production assistant', 'Electronics engineer', 'Scientist, biomedical', 'Engineer, water']","[['claim', 'establish', 'that', 'seek'], ['on', 'alone'], ['source', 'campaign', 'whether', 'happy', 'party'], ['industry', 'girl', 'thank']]"
"Rivera, Farrell and Butler",15:25 - 01:01,"['Sports coach', 'English as a foreign language teacher', 'Engineer, land', 'Patent attorney', 'Theme park manager']","[['network', 'these', 'determine', 'serious'], ['out', 'present', 'environmental'], ['few'], ['machine'], ['your', 'whom', 'movement', 'prepare', 'sometimes']]"
Jensen-Reed,06:01 - 09:17,"['Chief Marketing Officer', 'Engineer, site', 'Firefighter', 'Health and safety adviser', 'Industrial buyer', 'Learning mentor', 'Editor, commissioning', 'Patent attorney', 'Designer, textile', 'Maintenance engineer']","[['international', 'Democrat', 'yes', 'international'], ['lose'], ['teach', 'middle', 'long'], ['smile', 'available', 'million', 'bed'], ['late', 'religious', 'remain', 'add'], ['protect', 'pull', 'fly', 'popular', 'model'], ['anything'], ['young'], ['end', 'girl', 'artist', 'enter'], ['thousand', 'good', 'keep', 'sometimes']]"
"Hernandez, Torres and Hobbs",18:20 - 13:49,"['Surveyor, minerals', 'Lecturer, further education', 'Civil Service fast streamer', 'Technical sales engineer']","[['father', 'institution'], ['that', 'hand', 'feeling', 'citizen', 'training'], ['become', 'difference', 'rise', 'both', 'movie'], ['radio']]"
Lara PLC,22:54 - 16:25,"['Field seismologist', 'Civil engineer, contracting', 'Engineer, control and instrumentation', 'Clinical cytogeneticist', 'Museum/gallery curator', 'Recruitment consultant', 'Publishing copy']","[['eat', 'least'], ['individual', 'key', 'avoid', 'network'], ['huge', 'treatment', 'free', 'argue'], ['public'], ['turn'], ['she', 'cultural', 'find'], ['keep', 'fish']]"
Barton Ltd,22:39 - 00:50,"['Equality and diversity officer', 'Air broker', 'Broadcast engineer', 'Careers adviser', 'Hospital doctor', 'Operations geologist', 'Librarian, public', 'Associate Professor', 'Engineer, maintenance (IT)']","[['follow', 'actually'], ['until', 'forward', 'finish', 'wife', 'clear'], ['hand', 'subject'], ['which', 'agent', 'season'], ['level', 'year'], ['I', 'shake', 'difference', 'side', 'sure'], ['memory', 'town', 'choose', 'page', 'skin'], ['set', 'fall'], ['interest', 'thus', 'suffer', 'window', 'opportunity']]"
"Rollins, Davis and Cowan",13:28 - 05:22,"['Sales executive', 'Set designer']","[['concern', 'give'], ['bill', 'reduce']]"
Simon-Watson,13:43 - 19:43,"['Research scientist (physical sciences)', 'Magazine features editor', 'Public relations account executive', 'Operations geologist', 'Contractor', 'Pharmacist, hospital', 'Dietitian', 'Social researcher', 'Administrator, charities/voluntary organisations']","[['heavy', 'whole', 'structure', 'to', 'expert'], ['cultural', 'still', 'conference', 'either', 'car'], ['on', 'stand', 'down', 'attack', 'represent'], ['lawyer', 'describe', 'apply', 'will', 'interview'], ['dinner', 'send', 'one', 'kitchen', 'vote'], ['see', 'guy', 'true'], ['middle', 'listen', 'think', 'first'], ['look'], ['factor', 'perform', 'similar']]"
Nelson and Sons,02:15 - 16:43,"['Colour technologist', 'Pension scheme manager', 'Mental health nurse', 'Geneticist, molecular', 'Investment banker, operational', 'Newspaper journalist', 'Fish farm manager', 'Primary school teacher']","[['tree', 'form'], ['purpose'], ['increase', 'ask', 'behavior', 'cause', 'reduce'], ['expert', 'trade', 'call', 'executive'], ['research'], ['war', 'too', 'organization', 'risk', 'become'], ['because', 'policy', 'deep', 'but'], ['sometimes', 'heavy', 'forget', 'American']]"
